"Flow Depth, D [m]",SLOPE,CHARGE,"Channel Width, B [m]","Particle size, d [m]",Bed Form
5.09,0.0002042487,34721.4,306,0.000978193,2
5.09,0.0000975068,15114.2,261,0.000978193,2
4.89,0.0000766100,7200.2,258,0.000978193,2
4.79,0.0000657648,5243.3,257,0.000978193,2
3.54,0.0003481208,125324.7,449.2,0.000978193,2
3.53,0.0003542062,88004.6,449,0.000978193,2
3.88,0.0004208224,102997.2,458.3,0.000978193,2
3.98,0.0004732671,106084.3,461.2,0.000978193,2
3.73,0.0004378743,58620.8,455,0.000978193,2
5.07,0.0001771232,18395.1,295,0.000978193,2
3.75,0.0003420343,29599.2,425,0.000978193,2
4.09,0.0004974119,92697.7,465,0.000978193,2
4.26,0.0005279347,108236.4,470,0.000978193,2
4.45,0.0005769192,134242.6,475,0.000978193,2
4.69,0.0006336238,145459,482,0.000978193,2
4.9,0.0006720664,159308.9,483,0.000978193,2
4.65,0.0006507275,90333.9,480,0.000978193,2
4.39,0.0005708062,60647.6,472,0.000978193,2
1,0.0004540000,187,283.1,0.002812474,2
2.04,0.0004310000,41548,294.1,0.002812474,2
2.13,0.0004250000,18454,295.3,0.002812474,2
2.1,0.0004450000,17079,295,0.002812474,2
2.19,0.0004430000,17753,296.2,0.002812474,2
1.81,0.0004270000,10643,290,0.002812474,2
1.69,0.0004350000,6552,287.9,0.002812474,2
2.65,0.0004000000,57637,302,0.002812474,3
2.78,0.0003980000,42368,303,0.002812474,3
2.35,0.0004250000,14407,298.3,0.002812474,2
3.23,0.0004600000,68500,306.7,0.002812474,3
3.61,0.0004190000,91754,309.7,0.002812474,3
4.26,0.0004600000,118564,315,0.002812474,3
5.48,0.0004420000,330164,323.7,0.002812474,2
5.7,0.0004230000,430096,339,0.002812474,2
7.13,0.0004450000,1399274,358.1,0.002812474,2
7.88,0.0004180000,1641478,368.7,0.002812474,2
8.5,0.0003830000,1091369,378.2,0.002812474,2
9.02,0.0003480000,570350,383.2,0.002812474,2
0.64,0.0004720000,52,213,0.002812474,2
2.87,0.0001730000,81.7,275.8,0.000457996,2
4.86,0.0002060000,30205.3,285,0.000457996,2
4.35,0.0005460000,26982.2,283,0.000457996,2
4.14,0.0000190000,8878.3,282.2,0.000457996,2
3.24,0.0000180000,197.8,276.9,0.000457996,2
4.4,0.0000970000,19379,283.2,0.000457996,2
5.17,0.0003020000,35043.5,286.3,0.000457996,2
3.49,0.0000180000,690.7,279.4,0.000457996,2
5.62,0.0004930000,51795.6,288,0.000457996,2
5.25,0.0002560000,20661.7,286.6,0.000457996,2
5.12,0.0001270000,25684.2,286.1,0.000457996,2
5.61,0.0003550000,32166.5,288,0.000457996,2
6.01,0.0003100000,38607.4,296.8,0.000457996,2
6.02,0.0003020000,39919.7,297,0.000457996,2
5.75,0.0004470000,16233.6,290.5,0.000457996,2
5.18,0.0002330000,10592.6,286.3,0.000457996,2
6.35,0.0002940000,84508.3,321.1,0.000457996,2
7.1,0.0003100000,132046.3,334.1,0.000457996,2
6.44,0.0001800000,67328,328.3,0.000457996,2
5.21,0.0002640000,12343,286.4,0.000457996,2
6.6,0.0002330000,83751.1,331.1,0.000457996,2
6.92,0.0002490000,141472.3,333,0.000457996,2
5.59,0.0003780000,12894.6,287.9,0.000457996,2
2.98,0.0004190000,16751.8,375,0.000334252,2
3.37,0.0002370000,25092.1,376,0.000334252,2
3.09,0.0002370000,11094.8,375,0.000334252,2
2.39,0.0002110000,7037.2,366.4,0.000334252,2
3.7,0.0002240000,35852.8,379.9,0.000334252,2
3.93,0.0001640000,77542,381.4,0.000334252,2
4.06,0.0001670000,54961.1,382.1,0.000334252,2
3.83,0.0002010000,45067.8,380.8,0.000334252,2
2.54,0.0000340000,57.2,316.2,0.000334252,2
3.59,0.0000020000,1754.8,148.2,0.000359682,2
3.48,0.0000060000,1040.1,146.7,0.000359682,2
3.66,0.0001260000,7546.4,188.8,0.000359682,2
3.63,0.0001180000,8085.7,187.9,0.000359682,2
3.57,0.0000960000,6433.7,185.1,0.000359682,2
3.65,0.0000140000,3570.1,159.7,0.000359682,2
3.8,0.0000480000,5872.1,194,0.000359682,2
3.92,0.0000850000,44843.4,305.7,0.000359682,2
3.95,0.0001460000,51884.8,310.1,0.000359682,2
3.91,0.0001020000,46899.2,255.7,0.000359682,2
3.71,0.0000840000,12313.8,234.3,0.000359682,2
4.04,0.0000940000,72979.5,324.5,0.000359682,2
4.09,0.0001050000,17815.4,333.6,0.000359682,2
3.92,0.0000370000,12021.6,269.9,0.000359682,2
3.49,0.0001120000,17136.1,398.2,0.000359682,2
4.08,0.0001100000,56282.2,330.9,0.000359682,2
3.95,0.0001100000,29736.9,283.5,0.000359682,2
3.89,0.0000600000,6104.4,242.8,0.000359682,2
3.95,0.0000770000,9658.1,294,0.000359682,2
3.84,0.0000950000,25666.6,400.4,0.000359682,2
4.25,0.0001330000,39451.6,440.5,0.000359682,2
3.56,0.0001350000,27962.4,398.6,0.000359682,2
3.94,0.0000990000,6514.4,280.4,0.000359682,2
3.94,0.0000730000,4724.4,246.5,0.000359682,2
2.88,0.0002600000,75.6,132.4,0.000359682,2
0.77,0.0000500000,7.1,160,0.001112112,2
1.69,0.0002484040,4042.8,265.1,0.001112112,2
2.07,0.0002875548,6393.9,268.1,0.001112112,2
1.75,0.0002581327,1269.3,265.6,0.001112112,2
1.34,0.0002076915,949.3,261.1,0.001112112,2
2.74,0.0003467263,30481.1,273.5,0.001112112,2
2.37,0.0003145974,12354.2,270.5,0.001112112,2
2.17,0.0002768437,3701.5,268.6,0.001112112,2
2.59,0.0003371117,8504.2,272.3,0.001112112,2
2.89,0.0003632698,11486.2,274.8,0.001112112,2
4.79,0.0005088085,200454.4,283.2,0.001112112,2
4.43,0.0004806613,77984.4,281.7,0.001112112,2
3.87,0.0004390729,50306.2,279.1,0.001112112,2
